"Latest: Time (s)","Latest: Temperature (°C)"
264.5,42.4021980776
265,42.4103443517
265.5,42.4250098945
266,42.429899052
266.5,42.4347885313
267,42.438048363
267.5,42.4413083378
268,42.4461985684
268.5,42.4461985684
269,42.4494589011
269.5,42.4527193771
270,42.4559799963
