"Latest: Time (s)","Latest: Temperature (°C)"
240.5,19.8596820197
241,19.8670484497
241.5,19.8685216992
242,19.8758877644
242.5,19.883253526
243,19.9053489931
243.5,19.9303872377
244,19.9421687378
244.5,19.9598395488
245,19.9642569823
245.5,19.9686743083
246,19.9701467264
246.5,19.9804533192
247,19.9922315677
247.5,19.9966482147
248,20.0054811881
248.5,20.0172578222
249,20.0319775504
249.5,20.0452242969
250,20.0614134707
250.5,20.0731865233
251,20.0996731551
251.5,20.1217424646
252,20.1467511945
252.5,20.1570479362
253,20.1570479362
253.5,20.1644024061
254,20.1673441135
254.5,20.1791104833
255,20.182051961
255.5,20.182051961
256,20.182051961
256.5,20.1879347788
257,20.1879347788
257.5,20.1879347788
258,20.1923467718
258.5,20.1908761189
259,20.1938174133
259.5,20.1952880433
260,20.1996998648
260.5,20.2041115834
261,20.2055821335
261.5,20.2085231993
262,20.2158756643
262.5,20.2232278446
263,20.226168637
263.5,20.2305797404
264,20.2349907416
264.5,20.2438124377
265,20.2482231327
265.5,20.2511635394
266,20.2585143583
266.5,20.2673349683
267,20.2761551722
267.5,20.2879148137
268,20.2996737363
268.5,20.3040831473
269,20.3217197843
269.5,20.3334766492
270,20.3422938303
270.5,20.3467022707
271,20.3496411755
271.5,20.364335034
272,20.3716815481
272.5,20.3834353963
273,20.4010648462
273.5,20.4128169337
274,20.4201616321
274.5,20.4348502086
275,20.4392565686
275.5,20.4480689944
276,20.4583496627
276.5,20.4612868987
277,20.4715668831
277.5,20.4833147868
278,20.4950619991
278.5,20.5112132897
279,20.5273632802
279.5,20.537639872
280,20.5523198092
280.5,20.5567235825
281,20.5669986809
281.5,20.5802087571
282,20.5963532406
282.5,20.6036912196
283,20.6154314378
283.5,20.6257035765
284,20.6271709829
284.5,20.6301057642
285,20.6433117612
285.5,20.6506480601
286,20.6623855955
286.5,20.6711883095
287,20.6770565775
287.5,20.6961273021
288,20.7034617304
288.5,20.7166630509
289,20.7210633056
289.5,20.7269301678
290,20.7415966045
290.5,20.7489294384
291,20.7577285016
291.5,20.7694600142
292,20.7767918785
292.5,20.7841234886
293,20.7914548449
293.5,20.7987859477
294,20.8075829371
294.5,20.8134473947
295,20.8149134838
295.5,20.8178456319
296,20.8222437784
296.5,20.8325057678
297,20.8413013668
297.5,20.8471648989
298,20.8544940886
298.5,20.8603572603
299,20.8647545342
299.5,20.8618230282
300,20.8647545342
300.5,20.8779458174
301,20.8940674024
301.5,20.9057914377
302,20.9189802208
302.5,20.9307029129
303,20.9380292756
303.5,20.9541464099
304,20.9717273877
304.5,20.9834472592
305,21.0010259002
305.5,21.008349922
306,21.0244619194
306.5,21.0376435952
307,21.0508244928
307.5,21.0727909323
308,21.0918267777
308.5,21.0991478292
309,21.1196455143
309.5,21.1401413506
310,21.1650266785
310.5,21.1928364999
311,21.2147892554
311.5,21.239666535
312,21.2747828887
312.5,21.2938020551
313,21.3084311406
313.5,21.3318358002
314,21.3523129908
314.5,21.3684009826
315,21.3786382344
315.5,21.3947244653
316,21.4093473825
316.5,21.422507254
317,21.4342043198
317.5,21.4546728361
